site,surber,taxa,number
Burcoa,s3,Acari,1
Burcoa,s1,Aoteapsyche,2
Burcoa,s2,Archichauliodes,4
Burcoa,s2,Austrosimulium,1
Burcoa,s1,Chironominae,3
Burcoa,s2,Chironominae,1
Burcoa,s3,Chironominae,1
Burcoa,s3,Collembola,2
Burcoa,s1,Cristaperla,1
Burcoa,s2,Deleatidium,1
Burcoa,s1,Elmidae,1
Burcoa,s2,Elmidae,1
Burcoa,s1,Empididae,1
Burcoa,s3,Empididae,2
Burcoa,s2,Hydrobiosis,2
Burcoa,s1,Oligochaetae,1
Burcoa,s2,Oligochaetae,47
Burcoa,s3,Oligochaetae,5
Burcoa,s1,Orthocladiinae,15
Burcoa,s2,Orthocladiinae,5
Burcoa,s3,Orthocladiinae,15
Burcoa,s3,Psilochorema,1
Burcoa,s1,Stenoperla,1
Burcoa,s3,Tanypodinae,1
BV03,s1,Acari,1
BV03,s2,Acari,1
BV03,s3,Acari,1
BV03,s2,Aoteapsyche,3
BV03,s2,Collembola,1
BV03,s3,Collembola,1
BV03,s2,Deleatidium,1
BV03,s1,Oligochaetae,1
BV03,s1,Orthocladiinae,1
BV03,s2,Orthocladiinae,4
BV03,s3,Orthocladiinae,1
BV03,s3,Orthocladiinae,4
Cbd,s1,Acari,4
Cbd,s2,Acari,3
Cbd,s3,Aoteapsyche,1
Cbd,s3,Austrosimulium,1
Cbd,s2,Beraeoptera,1
Cbd,s3,Beraeoptera,1
Cbd,s3,Deleatidium,3
Cbd,s2,Diamesinae,2
Cbd,s1,Empididae,1
Cbd,s1,Megaleptoperla,1
Cbd,s2,Oligochaetae,2
Cbd,s3,Oligochaetae,1
Cbd,s1,Orthocladiinae,2
Cbd,s2,Orthocladiinae,1
Cbd,s1,Oxyethira,5
Cbd,s3,Oxyethira,3
Cbd,s2,Zelandobius,3
Cbd,s3,Zelandobius,2
Char1,s1,Acari,5
Char1,s3,Acari,5
Char1,s1,Aoteapsyche,3
Char1,s3,Aoteapsyche,1
Char1,s3,Aoteapsyche,1
Char1,s2,Archichauliodes,4
Char1,s3,Archichauliodes,9
Char1,s1,Austroclima,2
Char1,s1,Austroperla,1
Char1,s3,Austroperla,1
Char1,s3,Austrosimulium,2
