taxa,MCI,AMDI
Acanthophlebia,7,NA
Acari,5,NA
Acroperla,5,NA
Aeshna,5,NA
Alloecentrella,9,3
Ameletopsis,10,6
Amphipoda,5,NA
Anisops,5,NA
Anisoptera,5,NA
Anthomyiidae,3,NA
Antipodochlora,6,NA
Antiporus,5,NA
Aoteapsyche,4,NA
Aphrophila,5,8
Arachnida,0,NA
Arachnocolus,8,NA
Archichauliodes,7,2
Atalophlebioides,9,NA
Austroclima,9,4
Austrolestes,6,NA
Austronella,7,NA
Austroperla,9,0
Austrosimulium,3,5
Beraeoptera,8,NA
Berosus,5,NA
Bryozoa,0,NA
Calopsectra,4,NA
Ceratopogonidae,3,5
Chironomidae,2,0
Chironominae,2,0
Chironomus,1,0
Cladocera,5,NA
Coelenterata,0,NA
Coleoptera,0,NA
Collembola,6,NA
Coloburiscus,9,8
Confluens,5,NA
Conuxia,8,NA
Copelatus,5,NA
Copepoda,5,NA
Corynoneura,2,NA
Costachorema,7,9
Cristaperla,8,9
Crustacea,0,NA
Cryptobiosella,9,NA
Cryptochironomus,3,0
Culex,3,NA
Culicidae,3,NA
Deleatidium,8,6
Diaprepocoris,5,NA
Diamesinae,0,0
Diplectrona,9,NA
Diptera,0,NA
Diptera,3,NA
Dixidae,4,NA
Dolichopodidae,3,NA
Dolomedes,5,NA
Dytiscidae,5,NA
Ecnomina,8,NA
Ecnominidae,8,NA
Edpercivalia,9,NA
Elmidae,6,NA
Elmidae_larvae,6,NA
Empididae,3,5
Enochrus,5,NA
Ephemeroptera,0,NA
Ephydridae,4,NA
Eriopterini,9,3
Ferrissia,3,NA
Gyraulus,3,NA
Halicarcinus,0,NA
Halticoperla,8,NA
Harrisius,6,NA
Helice,0,NA
Helicopsyche,10,8
Hemianax,0,NA
Hemicordulia,5,NA
Hemiptera,0,NA
Hexatomini,5,NA
Hirudinea,3,NA
Hudsonema,6,6
Hydora,0,0
Hydra,3,NA
Hydroid,3,NA
Hydraenidae,8,5
Hydrobiosella,9,7
Hydrobiosis,5,2
Hydrochorema,9,2
Hydrophilidae,5,8
Hydropsychidae,0,5
Hygraula,4,NA
Hyridella,3,NA
Ichthybotus,8,10
Insecta,0,NA
Isopoda,5,NA
Isothraulus,8,NA
Kempynus,5,NA
Kokiria,9,NA
Latia,3,NA
Lepidoptera,0,NA
Limnophora,3,NA
Limonia,6,7
Liodessus,5,NA
Lobodiamesa,5,NA
Lymnaeidae,3,NA
Maoridiamesa,3,0
Mauiulus,5,NA
Megaleptoperla,9,9
Megaloptera,0,NA
Melanopsis,3,NA
Microvelia,5,NA
Mischoderus,4,NA
Mollusca,0,NA
Molophilus,5,NA
Muscidae,3,0
Mysidae,0,NA
Nannochorista,7,NA
Nematoda,3,NA
Nematomorpha,3,NA
Nemertea,3,NA
Neocurupira,7,NA
Neolimnia,3,NA
Neozephlebia,7,3
Nesameletus,9,9
Nesoperla,5,NA
Neurochorema,6,NA
Neuroptera,0,NA
Nothodixa,4,NA
Odonata,0,NA
Odonata,0,NA
Oecetis,6,NA
Oeconesidae,9,NA
Oeconesus,0,2
Oligochaetae,1,1
Oligochaeta,1,1
Olinga,9,10
Oniscigaster,10,NA
Onychohydrus,5,NA
Orthocladiinae,2,0
Orthopsyche,9,NA
Ostracoda,3,4
Oxyethira,2,1
Paracalliope,5,NA
Paradixa,4,NA
Paraleptamphopidae,0,NA
Paraleptamphopus,5,3
Paralimnophila,6,6
Paranephrops,5,10
Paranthura,0,NA
Paratya,5,NA
Parochlus,8,NA
Paroxyethira,2,NA
Paucispinigera,6,NA
Pelecorhyncidae,9,NA
Peritheates,7,NA
Philorhethrus,8,NA
Physa,3,NA
Physastra,5,NA
Platyhelminthes,3,NA
Plecoptera,0,NA
Plectrocnemia,8,8
Podaena,8,NA
Podonominae,8,NA
Polychaeta,0,NA
Polypedilum,3,0
Polyplectropus,8,4
Potamopyrgus,4,10
Procordulia,6,NA
Psilochorema,8,2
Psychodidae,1,NA
Ptilodactylidae,8,10
Pycnocentrella,9,NA
Pycnocentria,7,7
Pycnocentrodes,5,0
Rakiura,10,7
Rallidens,9,NA
Rhabdocoela,0,NA
Rhantus,5,NA
Saldidae,5,NA
Sciomyzidae,3,NA
Scirtidae,8,1
Sigara,5,NA
Siphlaenigma,9,NA
Spaniocerca,8,4
Spaniocercoides,8,1
Sphaeriidae,3,NA
Sphaerium,3,NA
Staphylinidae,5,NA
Stenoperla,10,7
Stratiomyidae,5,NA
Synchorema,9,NA
Syrphidae,1,NA
Tabanidae,3,NA
Tanaidacea,4,NA
Tanyderidae,0,NA
Tanypodinae,5,0
Tanytarsini,3,0
Tanytarsus,3,0
Taraperla,7,10
Tardigrada,0,NA
Tepakia,8,NA
Thaumaleidae,9,NA
Tiphobiosis,6,NA
Tipulidae,5,NA
Trichoptera,0,NA
Triplectides,5,6
Triplectidina,5,NA
Uropetala,5,NA
Xanthocnemis,5,NA
Zeahydora,0,9
Zelandobius,5,0
Zelandoperla,10,4
Zelandoptila,8,NA
Zelandotipula,6,NA
Zelolessica,10,3
Zephlebia,7,9
